City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
72,Castro,BR,1/22/22 22:53,-24.7911,-50.0119,72.48,74,80,2.91
73,Chokurdakh,RU,1/22/22 22:53,70.6333,147.9167,-18.51,96,100,6.91
74,Rojhan,PK,1/22/22 22:53,28.6868,69.9534,50.47,74,0,6.31
75,Jutai,BR,1/22/22 22:53,-5.1833,-68.9,74.19,93,98,1.74
76,Marawi,PH,1/22/22 22:53,7.9986,124.2928,64.65,95,95,1.34
77,Ratnagiri,IN,1/22/22 22:51,16.9833,73.3,73.47,75,71,5.64
78,Albany,US,1/22/22 22:53,42.6001,-73.9662,19.98,67,76,1.57
79,East London,ZA,1/22/22 22:53,-33.0153,27.9116,72.66,71,0,18.07
80,Houma,US,1/22/22 22:53,29.5958,-90.7195,50,32,0,12.66
81,Acapulco,MX,1/22/22 22:49,16.8634,-99.8901,81.79,62,4,6.82
82,Hasaki,JP,1/22/22 22:53,35.7333,140.8333,32.29,79,100,8.81
83,Ketchikan,US,1/22/22 22:52,55.3422,-131.6461,43.27,93,100,13.8
84,Longyearbyen,SJ,1/22/22 22:53,78.2186,15.6401,22.24,89,83,7.47
85,Baza,ES,1/22/22 22:53,37.4907,-2.7726,45.73,88,32,5.99
86,Kaitangata,NZ,1/22/22 22:53,-46.2817,169.8464,57.92,56,54,8.95
87,Altamira,BR,1/22/22 22:53,-3.2033,-52.2064,77.77,80,96,1.88
88,Yellowknife,CA,1/22/22 22:53,62.456,-114.3525,-15.59,82,75,10.36
89,Sai Buri,TH,1/22/22 22:53,6.7013,101.6168,73.9,88,27,5.82
90,Airai,TL,1/22/22 22:53,-8.9266,125.4092,63.37,82,99,2.46
91,Cam Ranh,VN,1/22/22 22:54,11.9214,109.1591,71.56,94,20,3.44
92,Vardo,NO,1/22/22 22:54,70.3705,31.1107,27.93,83,100,36.44
93,Barrow,US,1/22/22 22:54,71.2906,-156.7887,-11.49,93,100,19.26
94,Tuktoyaktuk,CA,1/22/22 22:54,69.4541,-133.0374,-7.6,77,100,18.41
95,Synya,RU,1/22/22 22:54,65.3718,58.0387,3.11,94,74,7.43
96,Busselton,AU,1/22/22 22:54,-33.65,115.3333,71.1,46,4,6.73
97,Broome,US,1/22/22 22:50,42.2506,-75.833,22.46,46,0,1.01
98,Lebu,CL,1/22/22 22:54,-37.6167,-73.65,60.76,66,11,6.73
99,Vanimo,PG,1/22/22 22:54,-2.6741,141.3028,77.41,91,100,4.25
100,Ust-Nera,RU,1/22/22 22:54,64.5667,143.2,-38.16,100,68,3.98
101,Geraldton,AU,1/22/22 22:54,-28.7667,114.6,72.01,43,0,6.91
102,Manjacaze,MZ,1/22/22 22:54,-24.7117,33.8828,72.05,82,60,11.23
103,Ormara,PK,1/22/22 22:54,25.2088,64.6357,57.96,33,0,22.91
104,Plettenberg Bay,ZA,1/22/22 22:54,-34.0527,23.3716,74.73,61,15,6.33
105,Arraial Do Cabo,BR,1/22/22 22:50,-22.9661,-42.0278,76.96,83,0,13.8
106,Tuatapere,NZ,1/22/22 22:54,-46.1333,167.6833,57.81,59,72,7.4
107,Kapaa,US,1/22/22 22:54,22.0752,-159.319,76.98,77,100,1.01
108,Kavieng,PG,1/22/22 22:55,-2.5744,150.7967,83.91,71,89,4.43
109,Katsuura,JP,1/22/22 22:55,35.1333,140.3,40.19,58,93,8.86
110,Sandomierz,PL,1/22/22 22:55,50.6827,21.749,30.78,82,60,8.01
111,George Town,MY,1/22/22 22:54,5.4112,100.3354,79.9,91,20,0
112,Constitucion,CL,1/22/22 22:55,-35.3333,-72.4167,64.27,78,4,12.46
113,Fortuna,US,1/22/22 22:55,40.5982,-124.1573,74.08,42,0,1.99
114,Asau,RO,1/22/22 22:55,46.4333,26.4,26.4,77,99,3.49
115,Pevek,RU,1/22/22 22:55,69.7008,170.3133,-30.95,93,100,6.87
116,Sinnamary,GF,1/22/22 22:55,5.3833,-52.95,76.78,84,97,6.46
117,Nikolskoye,RU,1/22/22 22:55,59.7035,30.7861,19.29,100,95,0.87
118,Virginia Beach,US,1/22/22 22:51,36.8529,-75.978,34.02,88,40,8.05
119,Latung,PH,1/22/22 22:55,5.5,120.8833,80.53,80,100,5.55
120,Tiksi,RU,1/22/22 22:55,71.6872,128.8694,-6.65,95,100,9.26
121,Deputatskiy,RU,1/22/22 22:52,69.3,139.9,-7.37,97,100,4.63
122,Ahipara,NZ,1/22/22 22:55,-35.1667,173.1667,73.36,55,97,6.51
123,Eisenach,DE,1/22/22 22:55,50.9833,10.3167,40.17,90,100,5.7
124,Bambous Virieux,MU,1/22/22 22:55,-20.3428,57.7575,81.21,83,75,11.5
125,Asfi,MA,1/22/22 22:55,32.2994,-9.2372,62.46,72,75,9.37
126,Pandan,PH,1/22/22 22:55,14.0453,124.1694,77.04,83,84,9.84
127,Mount Isa,AU,1/22/22 22:55,-20.7333,139.5,80.37,83,75,5.75
128,Ulaanbaatar,MN,1/22/22 22:55,47.9077,106.8832,8.73,66,75,13.42
129,Raudeberg,NO,1/22/22 22:50,61.9875,5.1352,46.96,85,93,13
130,Tiarei,PF,1/22/22 22:55,-17.5333,-149.3333,75.22,78,100,19.39
131,Saskylakh,RU,1/22/22 22:55,71.9167,114.0833,3.11,97,97,4.79
132,Parnarama,BR,1/22/22 22:55,-5.6817,-43.0933,77.31,79,74,0.18
